Procedure type,OPCS_L4_Desc
Other valve procedure,K333: Aortic root replacement using homograft
Other valve procedure,K334: Aortic root replacement using mechanical prosthesis
Other valve procedure,K335: Aortic root replacement NEC
Other valve procedure,K336: Aortoventriculoplasty with pulmonary valve autograft
Other valve procedure,K338: Other specified operations on aortic root
Other valve procedure,K339: Unspecified operations on aortic root
Other valve procedure,K341: Annuloplasty of mitral valve
Other valve procedure,K342: Annuloplasty of tricuspid valve
Other valve procedure,K343: Annuloplasty of valve of heart NEC
Other valve procedure,K344: Excision of vegetations of valve of heart
Other valve procedure,K345: Closure of tricuspid valve
Other valve procedure,K346: Closure of pulmonary valve
Other valve procedure,K348: Other specified other open operations on valve of heart
Other valve procedure,K349: Unspecified other open operations on valve of heart
Other valve procedure,K358: Other specified therapeutic transluminal operations on valve of heart
Other valve procedure,K359: Unspecified therapeutic transluminal operations on valve of heart
Other valve procedure,K361: Tricuspid valvectomy
Other valve procedure,K362: Pulmonary valvectomy
Other valve procedure,K368: Other specified excision of valve of heart
Other valve procedure,K369: Unspecified excision of valve of heart
Other valve procedure,K371: Infundibulectomy of heart using patch
Other valve procedure,K372: Infundibulectomy of heart NEC
Other valve procedure,K373: Repair of subaortic stenosis
Other valve procedure,K374: Repair of supra-aortic stenosis
Other valve procedure,K375: Excision of supramitral ring
Other valve procedure,K376: Aortoventriculoplasty
Other valve procedure,K378: Other specified removal of obstruction from structure adjacent to valve of heart
Other valve procedure,K379: Unspecified removal of obstruction from structure adjacent to valve of heart
Other valve procedure,K381: Operations on papillary muscle
Other valve procedure,K382: Operations on chordae tendineae
Other valve procedure,K383: Operations on mitral subvalvar apparatus
Other valve procedure,K384: Closure of aorto-left ventricular tunnel
Other valve procedure,K385: Closure of aortic sinus of Valsalva fistula
Other valve procedure,K386: Repair of aortic sinus of Valsalva aneurysm
Other valve procedure,K388: Other specified other operations on structure adjacent to valve of heart
Other valve procedure,K389: Unspecified other operations on structure adjacent to valve of heart
